Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 5 pièces 155 m²,775000,5000.0,155.0,Pro,2026-02-07 19:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141260709,Charmante échoppe en pierre avec piscine - Sacré-Coeur - Nansouty ✨ A VENDRE ✨ Venez découvrir cette échoppe familiale de caractère offrant 4 ...
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 4 pièces 105 m²,650000,6190.476190476191,105.0,Pro,2026-02-07 08:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140820569,"Nous mettons en vente notre maison située dans le quartier St Augustin, à Bordeaux, à quelques pas de Pellegrin. Elle se trouve dans une rue calme ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 5 pièces 130 m²,525000,4038.4615384615386,130.0,Pro,2026-02-07 04:30:00,https://www.seloger.com/260361859/detail.htm,"Maison/loft 3 chambres, bureau,terrasse. Cette jolie maison au charme loft intimiste s'organise sur trois niveaux avec des espaces de vie bien ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 4 pièces 107 m²,475000,4439.252336448598,107.0,Pro,2026-02-07 03:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140719056,"Derrière sa superbe façade en pierre, cette maison pleine de charme de 107 m² offre un cadre de vie rare et recherché, au coeur de Bordeaux ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 1 pièces 35 m²,130000,3714.285714285714,35.0,Pro,2026-02-06 22:30:00,https://www.seloger.com/260344355/detail.htm,"Située dans le quartier recherché de Nansouty, cette maison individuelle de 35 m², sans copropriété, constitue une opportunité rare pour un ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 4 pièces 93 m²,598000,6430.10752688172,93.0,Pro,2026-02-06 22:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-13950/260340323/,"BORDEAUX-BARRIERE DU MÉDOC Ce bien, proposé en exclusivité par Garance Properties, se trouve dans un environnement recherché, à proximité de la ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 4 pièces 95 m²,399500,4205.263157894737,95.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260341507/detail.htm,"Charmante maison de 4 pièces Environ 95 m² avec jardin, garage et cave Située idéalement à proximité immédiate des commerces, des commodités ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 7 pièces 250 m²,1249900,4999.6,250.0,Pro,2026-02-06 21:30:00,https://www.properstar.fr/listing/113750628,"Exclusivité CABINET BEDIN - Immeuble d'habitation exceptionnel aux Chartrons. Nous vous proposons de découvrir ce très bel immeuble en pierre, ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 5 pièces 125 m²,750000,6000.0,125.0,Pro,2026-02-06 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/bordeaux/Acug03rrsbb46o4z.htm,"Exclusivite - Au coeur d'un triangle Gambetta / Fondaudège / Saint-Seurin, dans la très pittoresque rue Saint-Fort, belle maison de 125m² avec deux ..."
Bordeaux,Maison,Vente Maison à vendre Bordeaux (33000) 4 pièces 85 m²,446250,5250.0,85.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260327657/detail.htm,"L'agence Cadre d'Envies a le plaisir de vous présenter cette maison rénovée de 3 chambres, située dans un environnement calme et recherché, à ..."
