Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Lille,Appartement,Vente Appartement à vendre Lille (59000) 2 pièces 39 m²,240000,6153.846153846154,39.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141013018,"L'agence Valorime vous propose : Dans une très belle rue du Vieux-Lille, rue centrale et à deux pas de la gare, découvrez ce T2 de charme situé au ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 3 pièces 63 m²,342000,5428.571428571428,63.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140635106,Appartement T3 64m2 avec parking LILLE CENTRE (NV5802) Nouveauté chez FAELENS IMMOBILIER ! Appartement T3 de standing - Lille hypercentre Idéalement ...
Lille,Appartement,Vente Appartement à vendre Lille (59000) 3 pièces 53 m²,284000,5358.490566037736,53.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139944056,Au 13 rue nationale. Beau T3 en duplex complètement rénové au 4ème et dernier étage d'un bâtiment avec ascenseur. L'appartement a été ...
Lille,Appartement,Vente Appartement à vendre Lille (59000) 4 pièces 43 m²,130000,3023.2558139534885,43.0,Particulier,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141095693,"Appartement situé à 150 m du métro ""Mairie d'Hellemmes"", Ligne Jaune qui relie les universités de Lille et de Villeneuve d'Ascq et à 4 stations ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 2 pièces 40 m²,180000,4500.0,40.0,Particulier,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141016067,Je vends cet appartement de 2 pièces de 40 m² situé au 2ème étage d'un immeuble de 3 étages à Lille. Cet appartement comprend 1 chambre et 1 ...
Lille,Appartement,Vente Appartement à vendre Lille (59000) 4 pièces 65 m²,159000,2446.153846153846,65.0,Particulier,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140955475,"T4 65 m² - 3 chambres - Balcon - Rénové à neuf 2025 - Lille CHR 📍 Lille - rue de l'Épinette À proximité immédiate du CHR, des transports en ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 3 pièces 70 m²,212000,3028.5714285714284,70.0,Pro,2026-02-07 09:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140834763,"Appartement 3 pièces 70 m² - Parking - Cave - Wazemmes Liberkeys vous propose ce bel appartement de 3 pièces, situé rue des Postes, côté cour, ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 3 pièces 86 m²,330000,3837.2093023255816,86.0,Pro,2026-02-07 09:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140867426,LILLE - SAINT MAUR RESIDENCE ORSAY Votre agence Laforêt Villeneuve d'Ascq vous propose à l'achat ce grand et beau type 3 lumineux de 86m² ...
Lille,Appartement,Vente Appartement à vendre Lille (59000) 2 pièces 57 m²,183360,3216.842105263158,57.0,Pro,2026-02-07 03:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140721067,"Appartement Lille 2 pièce(s) 57.94 m2 SERGIC LILLE NATIONALE vous propose ce Grand T2 Situé dans un secteur recherché de Lille, alliant confort, ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 2 pièces 46 m²,212000,4608.695652173913,46.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260333935/detail.htm,"Logéhome Lille vous propose ce charmant appartement T2 de 46 m², idéalement situé Boulevard de la Liberté au sein d?un immeuble bien entretenu, ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 2 pièces 44 m²,178000,4045.4545454545455,44.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/citya-immobilier-47250273100020-TAPP965048,"LILLE VAUBAN - PLACE CORMONTAIGNE Au proximité du métro, des commerces, et de l'université catholique de Lille, au sein d'une résidence de 2006 ..."
Lille,Appartement,Vente Appartement à vendre Lille (59000) 1 pièces 12 m²,75000,6250.0,12.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140560233,"À vendre : studio meublé de 13 m², situé dans le quartier prisé de Bois Blanc à Lille, à proximité immédiate des transports et des ..."
