Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Lille,Maison,Vente Maison à vendre Lille (59000) 3 pièces 68 m²,207900,3057.3529411764707,68.0,Pro,2026-02-07 12:30:00,https://www.green-acres.fr/fr/properties/immobilier/hellemmes-lille/A7sqibjcyamvpxf8.htm,"L'agence hellemmoise C'est Pour Ton Bien, à honoraires réduits, vous propose cette maison semi-individuelle de 68m2 habitables, située à ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 146 m²,565000,3869.8630136986303,146.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140643120,"🏡 RARE À LILLE - Maison de ville 146 m² - 4 chambres Située à Lille quartier St Maurice / Pellevoisin, dans un secteur recherché, cette ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 4 pièces 60 m²,231000,3850.0,60.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260294377/detail.htm,"Rare sur le marché ! Idéalement située dans un quartier calme et verdoyant, cette maison de plain-pied est une opportunité exceptionnelle pour ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 6 pièces 146 m²,550000,3767.123287671233,146.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260274765/detail.htm,"Charmante maison bel-étage développant 145,61 m² habitables, offrant de beaux volumes et une organisation idéale pour une famille ou un projet ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 4 pièces 101 m²,579000,5732.6732673267325,101.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260255921/detail.htm,"Maison en parfait état situé dans le vieux Lille avec jardin et garage. La maison dispose d'un grand garage, d'une entrée et d'un bureau en ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 6 pièces 123 m²,376000,3056.910569105691,123.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140246045,"Située dans un quartier résidentiel prisé de LOMME BOURG, cette charmante maison des année 70 offre une surface habitable d'environ 123m2, idéale ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 3 pièces 49 m²,138000,2816.326530612245,49.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140187380,"Charmante maison de 1930, 49 m² habitables, dans un quartier en plein essor, à 8 min à pied du métro Porte de Douai et Porte de Valenciennes, et 6 ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 6 pièces 130 m²,375000,2884.6153846153848,130.0,Pro,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140026514,"Située à proximité du CHR de Lille, cette maison de 130 m² fraîchement rénovée conjugue parfaitement confort familial, cachet de l'ancien et ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 9 pièces 215 m²,765000,3558.139534883721,215.0,Particulier,2026-02-05 21:30:00,https://gensdeconfiance.com/fr/ui/post/realestate__sale/5f11705e-9c41-433b-b0e1-4e8f3204cae6,"nous vendons notre maison de 215m² située dans un quartier très agréable proche de la catho - Vauban. Fin du 19ème, elle possède beaucoup de ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 6 pièces 108 m²,435000,4027.777777777778,108.0,Pro,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139830191,"À vendre Maison de charme 5 chambres 108 m2 Rue de Loos, Lille Idéalement située à proximité immédiate de l'Université Catholique de ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 2 pièces 44 m²,141000,3204.5454545454545,44.0,Particulier,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139743693,A vendre maison de courée de 44m2 sur Lille Moulins à 5' à pieds de la faculté de droit et des stations de Metro. Elle offre les prestations ...
Lille,Maison,Vente Maison à vendre Lille (59000) 4 pièces 142 m²,378000,2661.9718309859154,142.0,Pro,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139225417,"LILLE : ARO IMMOBILIER vous présente, cette maison semi-individuelle à rénover, offrant un beau potentiel. Implantée sur une parcelle de 235m2 ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 133 m²,385000,2894.736842105264,133.0,Pro,2026-02-05 21:30:00,https://www.properstar.fr/listing/113654400,"LILLE (REF : SM5693F) Dans un quartier calme et paisible, nous vous proposons cette belle maison de 133 m² en très bon état qui allie l'ancien et ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 112 m²,398000,3553.5714285714284,112.0,Pro,2026-02-04 21:30:00,https://www.seloger.com/260123985/detail.htm,"Située dans un secteur calme et recherché à Lomme Bourg, cette maison vous séduira par son emplacement et sa fonctionnalité. Elle se compose ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 3 pièces 50 m²,115000,2300.0,50.0,Particulier,2026-02-04 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139226293,"À VENDRE - Maison 50 m² en R+1 - Boulevard Victor Hugo Charmante petite maison de 50 m² située boulevard Victor Hugo, à deux pas du parc ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 192 m²,555000,2890.625,192.0,Pro,2026-02-04 21:30:00,https://www.espaces-atypiques.com/ventes/59000-lille-maison-de-caractere-du-xixe-siecle-avec-verriere-et-cour-intime-14627/,"Maison familiale de 192 m² répartie sur quatre niveaux, située à Lille dans le quartier dynamique de Moulins, à proximité immédiate des axes ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 133 m²,385000,2894.736842105264,133.0,Pro,2026-02-04 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139017928,"Maison Lumineuse avec beau jardin de 150m2 LILLE (REF : SM5693F) Dans un quartier calme et paisible, nous vous proposons cette belle maison de 133 ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 4 pièces 110 m²,319000,2900.0,110.0,Pro,2026-02-04 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139117837,"Nouveauté dans votre Agence Immo&Cie de Quesnoy Maison début du 20ème développant 110m² habitable, 3 chambres, Terrasse Quesnoy-sur-Deûle - ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 8 pièces 169 m²,549000,3248.5207100591715,169.0,Pro,2026-02-03 21:30:00,https://www.avendrealouer.fr/vente/lille-59/b-maison/8-pieces/loc-101-27228/fd-3138927081.html,"LILLE CENTRE PLACE DE LA RÉPUBLIQUE MAISON DE CARACTÈRE RARE À proximité immédiate du métro République Beaux-Arts, au coeur de Lille, ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 122 m²,370000,3032.786885245901,122.0,Pro,2026-02-03 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3138883816,"maison mitoyenne À vendre, maison mitoyenne de 122 m² offrant de beaux volumes et un cadre de vie agréable. Elle se compose de 4 chambres, d'un ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 8 pièces 110 m²,530000,4818.181818181818,110.0,Particulier,2026-02-02 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3138491126,"Nous vendons notre maison de type bel étage d'environ 110 m² semi mitoyenne, située dans le quartier recherché de Saint-Maurice Pellevoisin, à ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 111 m²,468000,4216.216216216216,111.0,Particulier,2026-02-02 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3138383046,"Maison à 2mn de la station de métro Canteleu, rue Turgot. 3 chambres (17, 17 et 11 M2) , 1 grande cuisine équipée ( frigo, four, lave-vaisselle) , ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 99 m²,189400,1913.1313131313127,99.0,Pro,2026-02-02 21:30:00,https://www.immobilier.notaires.fr/fr/annonce-immo-detail?idAnnonce=1899150,Hellemmes-lille Maison type 1930 à moderniser. Séjour - cuisine- 3 chambres + grenier aménageable. Jardin clos - chaudière neuve. Tarif de ...
Lille,Maison,Vente Maison à vendre Lille (59000) 3 pièces 63 m²,316500,5023.809523809524,63.0,Pro,2026-02-02 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3138130800,"NOUVEAUTE - EXCLUSIVITE Maison flamande semi-mitoyenne, rare sur le marché, Lille limite Marcq-en-Baroeul Venez découvrir cette maison flamande ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 100 m²,293100,2931.0,100.0,Pro,2026-02-02 21:30:00,https://www.immobilier.notaires.fr/fr/annonce-immo-detail?idAnnonce=1898987,"Lomme Bourg à dix minutes à pied du métro, petite résidence au calme vaste maison semi individuelle avec garage, jardin, sous sol complet ..."
Lille,Maison,Vente Maison à vendre Lille (59000) 5 pièces 105 m²,284000,2704.7619047619046,105.0,Particulier,2026-02-01 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3137966197,"Nous vous invitons à venir découvrir cette charmante maison familiale située dans le quartier Mitterie, dans une rue calme à sens unique. Ce bien ..."
