Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 5 pièces 130 m²,449000,3453.846153846154,130.0,Pro,2026-02-07 20:30:00,https://www.fnaim.fr/annonce-immobiliere/52888522/17-acheter-appartement-nantes-44000.htm,"Emplacement de choix, dans une rue calme au sein d'une résidence de taille humaine. Appartement traversant et lumineux (ouest / est) donnant sur ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 2 pièces 53 m²,179500,3386.7924528301887,53.0,Particulier,2026-02-07 18:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140432341,"[Annonce destinée aux Particuliers et Investisseurs - Agences s'abstenir] T2 de 53,65m² situé dans un quartier calme et bien desservi. Proche ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 4 pièces 80 m²,261250,3265.625,80.0,Pro,2026-02-07 18:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140434245,"4 pièces doulon bottière Doulon - Bottière, au pied du Super U, appartement aux dernières norme situé au 4ème étage et exposé sud-ouest. Grand ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 2 pièces 49 m²,182350,3721.428571428572,49.0,Pro,2026-02-07 18:30:00,https://www.immobilier.notaires.fr/fr/annonce-immo-detail?idAnnonce=1901870,"NANTES - Rond-Point de Paris/Route de Saint-Joseph Grand T2 avec balcon, ascenseur, parking et cave Au 2ème étage avec ascenseur, dans une ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 4 pièces 95 m²,346500,3647.368421052632,95.0,Pro,2026-02-07 18:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141176107,"Exclusivité ! Dans un ensemble résidentiel calme à l'angle de la rue de Clermont et chemin du Port Garnier, à Nantes, à proximité immédiate de ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 1 pièces 33 m²,178500,5409.090909090909,33.0,Pro,2026-02-07 17:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141107897,"Quartier CANCLAUX - Appartement T1 au 7ème étage, dans une résidence sécurisée avec ascenseur, d'une surface habitable de 32.97 m2. Comprenant ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 3 pièces 60 m²,184000,3066.6666666666665,60.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141064193,"Art et Pierre Immobilier vous propose en exclusivité, ce T3 au pied d'Audencia, de l'école Centrale, et des transports en commun. Au deuxième et ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 4 pièces 79 m²,249000,3151.8987341772154,79.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141088490,"Art et Pierre Immobilier vous propose ce T4 au calme, avec une belle terrasse évolutive orientée ouest de 18 m², située à proximité ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 1 pièces 33 m²,139000,4212.121212121212,33.0,Particulier,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141023167,"🗺️ Quartier Dalby, sur ligne Tram T1 arrêt Manufacture (1 mn à pieds), à proximité de la Gare Nord (à 1km) et Jardin des Plantes. En bordure ..."
Nantes,Appartement,Vente Appartement à vendre Nantes (44000) 2 pièces 70 m²,270000,3857.142857142857,70.0,Particulier,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140963967,"Situé en hyper-centre, cet appartement de 70 m² Carrez est au 4ème étage d'un immeuble ancien de caractère. Il offre un espace de vie convivial ..."
