Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Nantes,Maison,Vente Maison à vendre Nantes (44000) 8 pièces 175 m²,655000,3742.857142857143,175.0,Pro,2026-02-07 17:30:00,https://www.iadfrance.fr/annonce/maison-vente-8-pieces-nantes-175m2/r1930210,"À DEUX PAS des promenades de l'Erdre, dans le CALME du secteur de l'Éraudière, cette maison FAMILIALE offre un cadre de vie privilégié. Les ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 6 pièces 166 m²,780000,4698.795180722892,166.0,Pro,2026-02-07 14:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-42048/260390609/,NOUVEAUTE COLDWELL BANKER FRANKLIN IMMOBILIER ! au calme d'une jolie rue du quartier Chantenay à Nantes Dans un ancien bâtiment administratif des ...
Nantes,Maison,Vente Maison à vendre Nantes (44000) 85 m²,220000,2588.235294117647,85.0,Particulier,2026-02-07 11:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140412947,"Maison avec petit terrain. Nanres nord vers orvault.. Un garage, buanderie, cellier, cave... Proche de tous commerces/grand Leclerc /grand parc ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 4 pièces 114 m²,410000,3596.491228070176,114.0,Pro,2026-02-07 08:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140784511,"Maison 3 chambre(s) à vendre Maison familiale - Quartier du Landreau Située dans une impasse privée , au calme, cette maison des années 1970 ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 4 pièces 90 m²,296800,3297.777777777778,90.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/immo-facile-59802119,"MAISON au calme Elle se compose au rez de chaussée, entrée, cuisine aménagée avec séjour, une chambre avec sa salle d'eau privative, wc ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 7 pièces 230 m²,880000,3826.086956521739,230.0,Pro,2026-02-06 21:30:00,https://www.safti.fr/annonces/vente/maison/nantes-44100/1595332,"Rare, maison d'architecte au fond d'impasse, en retrait total, offrant calme absolu et esprit campagne en ville, à proximité de la place Zola, du C3 ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 5 pièces 120 m²,749000,6241.666666666667,120.0,Pro,2026-02-06 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-18168/260311975/,"Nantes préfecture, en fond d'impasse, cette maison d'architecte vous séduira par sa situation idéale et la qualité des matériaux et de la ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 4 pièces 108 m²,482500,4467.592592592592,108.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/immo-facile-59873478,"Nantes - Chantenay : Idéalement située dans un environnement calme et verdoyant, à proximité immédiate des commerces de quartier, des transports ..."
Nantes,Maison,Vente Maison à vendre Nantes (44000) 4 pièces 84 m²,336842,4010.0238095238096,84.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/square-habitat-immo-facile-43273200,Secteur Doulon/Toutes-Aides dans une petite rue calme proche de l'hôpital BELLIER vous serez séduit par le potentiel et le charme de cette maison ...
Nantes,Maison,Vente Maison à vendre Nantes (44000) 7 pièces 128 m²,454140,3547.96875,128.0,Pro,2026-02-06 21:30:00,https://www.ouestfrance-immo.com/immobilier/vente/maison/nantes-44-44109/19723504.htm,"Seulement chez Univers City Immo Maison familiale 7 pièces, 5 chambres de 128m² à Nantes, quartier Saint-Joseph de Porterie Pour réserver votre ..."
