Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 2 pièces 41 m²,205000,5000.0,41.0,Particulier,2026-02-07 20:44:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141277293,Appartement T2 1 min de la place de la Victoire 41m2 Loi Carrez DPE D Petit immeuble en pierre aux parties communes soignées Toiture neuve et ...
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 6 pièces 162 m²,990800,6116.049382716049,162.0,Pro,2026-02-07 20:30:00,https://www.properstar.fr/listing/113790109,"Place Gambetta - Rarissime. Place Gambetta - Rarissime Le Cabinet Bedin Immobilier vous propose ce magnifique appartement, situé au sein d'un ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 2 pièces 54 m²,180000,3333.333333333333,54.0,Pro,2026-02-07 17:30:00,https://www.iadfrance.fr/annonce/appartement-vente-2-pieces-bordeaux-54m2/r1940022,"Coup de coeur : Le charme de la pierre et le calme absolu en plein centre-ville Bordeaux - Quartier Victoire Idéalement situé au coeur de Bordeaux, ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 3 pièces 71 m²,329990,4647.74647887324,71.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140205276,"Appartement de 3 pièces principales Au coeur du quartier Sacré-Coeur à proximité de la place Nansouty, découvrez ce T3 lumineux aux volumes ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 3 pièces 70 m²,250000,3571.428571428572,70.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141127155,"Appartement T3 (70m2 environ), 3ème et dernier étage d'une résidence de 6 appartements. - Hall d'entrée, Salon Séjour, baie coulissante sur ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 2 pièces 38 m²,200000,5263.1578947368425,38.0,Particulier,2026-02-07 14:30:00,https://gensdeconfiance.com/fr/ui/post/realestate__sale/0483372d-b30e-41d1-b9ff-d76f85eebf3f,"je vous propose à la vente mon appartement 38m² , situé quartier hyper centre. Arrêt tram victoire. Très bien entretenu, aucun travaux à ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 4 pièces 76 m²,335000,4407.894736842105,76.0,Pro,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141038797,"Nouveau : Bordeaux Caudéran, dans une rue calme et résidentielle du quartier des Grands Chênes, au 5 ème étage d'une résidence de grand standing ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 1 pièces 22 m²,120000,5454.545454545455,22.0,Pro,2026-02-07 13:30:00,https://www.bienici.com/annonce/laforet-immo-facile-52480844,"Au coeur du très recherché quartier Nansouty, dans la charmante rue Dubourdieu, Laforêt vous propose ce ravissant studio parfaitement agencé, ..."
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 6 pièces 130 m²,495000,3807.692307692308,130.0,Pro,2026-02-07 13:30:00,https://www.seloger.com/260391859/detail.htm,Superbe duplex lumineux de 130 m² avec terrasse plein sud à Bacalan - Bordeaux Découvrez ce magnifique appartement en duplex de 110 m² habitables ...
Bordeaux,Appartement,Vente Appartement à vendre Bordeaux (33000) 1 pièces 21 m²,120000,5714.285714285715,21.0,Pro,2026-02-07 11:30:00,https://www.seloger.com/260383017/detail.htm,"Au coeur du très recherché quartier Nansouty, dans la charmante rue Dubourdieu, Laforêt vous propose ce ravissant studio parfaitement agencé, ..."
