Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Lyon,Appartement,Vente Appartement à vendre Lyon 6e Arrondissement (69006) 1 pièces 20 m²,200000,10000.0,20.0,Pro,2026-02-07 20:30:00,https://www.espaces-atypiques.com/ventes/69006-lyon-magnifique-studio-au-sein-dune-copropriete-de-standing-a-foch-14870/,"Situé Quai Général Sarrail, au sein du quartier Foch, dans le 6ème arrondissement de Lyon, ce studio de 24,69 m2 (19,91m2 Carrez) prend place au ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 3e Arrondissement (69003) 3 pièces 52 m²,220000,4230.769230769231,52.0,Pro,2026-02-07 19:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141108205,"Découvrez ce charmant appartement situé en retrait d'une rue peu passante, à sens unique, à 8 minutes à pied du métro Monplaisir, au sein d'une ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 3 pièces 74 m²,340000,4594.594594594595,74.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141009522,"Appartement de 3 pièces situé avenue Jean Jaurès à proximité de la place jean macé, proche métro, bus et gare. Deuxième étage avec ascenseur ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 2e Arrondissement (69002) 2 pièces 100 m²,579000,5790.0,100.0,Particulier,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140874434,"Dans l'une des rues piétonnes animées de la Presqu'île, au 2e étage d'un immeuble haussmannien avec ascenseur, nous vous proposons un appartement ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 3e Arrondissement (69003) 2 pièces 47 m²,270000,5744.68085106383,47.0,Particulier,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140874059,"Particulier vend appartement 2 pièces de 47 m², situé à Lyon 3, à seulement 5 minutes à pied de la Part-Dieu, au 4e étage sur 6 avec ascenseur, ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 3 pièces 72 m²,290000,4027.777777777778,72.0,Pro,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140880100,"Situé à proximité immédiate du tramway et du métro B (600m), cet appartement de 72,5 m² prend place en rez-de--chaussée d'un immeuble ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 3 pièces 79 m²,475000,6012.658227848101,79.0,Pro,2026-02-07 13:30:00,https://www.seloger.com/260379271/detail.htm,T3 // COEUR CHEVREUL// ÉTAGE ÉLEVÉ //RARE L'agence Catanéo Transaction vous propose ce magnifique appartement de 79m2 loi carrez dans une ...
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 4 pièces 70 m²,340000,4857.142857142857,70.0,Pro,2026-02-07 13:30:00,https://www.iadfrance.fr/annonce/appartement-vente-4-pieces-lyon-70m2/r1942801,"Opportunité à Saisir - Appartement lumineux F3/F4 avec Balcon, A proximité des facultés, découvrez ce charmant appartement situé dans un ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 9e Arrondissement (69009) 2 pièces 31 m²,139000,4483.870967741936,31.0,Pro,2026-02-07 13:30:00,https://www.orpi.com/annonce-vente-appartement-t2-lyon-9-69009-0ae6ebcf-8eca-4d02-9c94-8f412faf18d4,"Rue Saint Pierre De Vaise T2 Traversant. Rue Saint Pierre de Vaise , proche Métro, Commerces et Grandes Ecoles. Dans un petit immeuble ancien bien ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 2 pièces 53 m²,279500,5273.584905660377,53.0,Pro,2026-02-07 12:30:00,https://www.seloger.com/260373287/detail.htm,"EXCLUSIVITÉ / Dans un quartier recherché à 5mn à pied de Jean MACÉ, Bel Appartement T2 d'une surface de 53 m2 carrez situé au 4ème étage avec ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 8e Arrondissement (69008) 2 pièces 25 m²,150000,6000.0,25.0,Particulier,2026-02-07 12:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140822668,"Dans le 8e arrondissement, proche Grange blanche, particulier vend T2 meublé de 25 m2 situé rue Maryse Bastié au 2e et dernier étage, au sein ..."
Lyon,Appartement,Vente Appartement à vendre Lyon 7e Arrondissement (69007) 1 pièces 19 m²,79000,4157.894736842105,19.0,Pro,2026-02-07 12:30:00,https://www.seloger.com/260374801/detail.htm,EXCLUSIVITE - LOUE EN BAIL COMMERCIAL MEUBLE - Bastien STERCKEMAN vous propose au 3 ème étage d'une résidence récente (2013) de standing - Joli ...
Lyon,Appartement,Vente Appartement à vendre Lyon 5e Arrondissement (69005) 1 pièces 37 m²,260000,7027.027027027027,37.0,Particulier,2026-02-07 11:30:00,https://www.seloger.com/26MP14ASJAG6/detail.htm,"T1 premium - Séjour 28 m² - HSP 3 m - Terrasse 11 m² - Vue Saône - Ycone Jean Nouvel Au 7e étage de la résidence Ycone, T1 de 37,2 m² avec ..."
