Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Lyon,Maison,Vente Maison à vendre Lyon 3e Arrondissement (69003) 4 pièces 117 m²,579000,4948.717948717948,117.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/257742991/detail.htm,Loft esprit maison - 113 m² Carrez (117m² au sol) - Patio - 3 chambres À seulement 500 m de la place Ambroise Courtois et du métro D ...
Lyon,Maison,Vente Maison à vendre Lyon 3e Arrondissement (69003) 5 pièces 170 m²,1490000,8764.70588235294,170.0,Pro,2026-02-05 21:30:00,https://www.iadfrance.fr/annonce/maison-vente-5-pieces-lyon-170m2/r1941025,Sublime maison d'architecte - Emplacement Prestigieux ! Monplaisir Cette remarquable maison d'architecte à Lyon 3eme offrira un design moderne et ...
Lyon,Maison,Vente Maison à vendre Lyon 3e Arrondissement (69003) 6 pièces 110 m²,598999,5445.445454545455,110.0,Pro,2026-02-05 21:30:00,https://www.bienici.com/annonce/ics-cor_CORNEILLE_tra-PALERMO,COUP DE CŒUR ! - L'agence Corneille Saint-Marc Transactions a le plaisir de vous faire découvrir cette maison familiale avec jardin. Le charme de ...
Lyon,Maison,Vente Maison à vendre Lyon 8e Arrondissement (69008) 4 pièces 127 m²,675000,5314.96062992126,127.0,Pro,2026-02-04 21:30:00,https://www.bienici.com/annonce/ag691538-511928687,"Nouvelle exclusivité Victoire Immobilier, Lyon 8, Coeur de Monplaisir. L'esprit d'une maison, l'adresse en plus. Un emplacement premium et une ..."
Lyon,Maison,Vente Maison à vendre Lyon 4e Arrondissement (69004) 3 pièces 46 m²,289000,6282.608695652174,46.0,Particulier,2026-02-03 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139000979,"Petite maison de ville, offrant un cadre de vie agréable et fonctionnel Située dans un quartier calme elle se compose de 3 pièces dont 2 ..."
Lyon,Maison,Vente Maison à vendre Lyon 3e Arrondissement (69003) 5 pièces 109 m²,600000,5504.587155963302,109.0,Pro,2026-02-03 21:30:00,https://www.seloger.com/259930749/detail.htm,"Maison 5 pièces sur terrain de 220 m2 Lyon 3 Proche tram Vinatier et HFME Idéalement située dans le 3 € arrondissement de Lyon, à proximité ..."
Lyon,Maison,Vente Maison à vendre Lyon 4e Arrondissement (69004) 4 pièces 92 m²,680000,7391.304347826087,92.0,Pro,2026-02-02 21:30:00,https://www.avendrealouer.fr/vente/lyon-69/b-maison/4-pieces/loc-101-33434/fd-3138362933.html,"EXCLUSIVITE IMMOPASSION : Dans joli hameau de 22 lots, maison en parfait état de 118m2 et 92,19 m2 loi carrez, 26m2 de garage, et une place de ..."
Lyon,Maison,Vente Maison à vendre Lyon 5e Arrondissement (69005) 3 pièces 76 m²,525000,6907.894736842105,76.0,Pro,2026-02-02 21:30:00,https://www.seloger.com/259879907/detail.htm,SECTEUR HÔTEL FOURVIÈRE - LYON 5 Un jardin secret en pleine ville - Comme une maison À quelques minutes à pied de Saint-Just et pourtant en pleine ...
Lyon,Maison,Vente Maison à vendre Lyon 4e Arrondissement (69004) 5 pièces 350 m²,1750000,5000.0,350.0,Pro,2026-02-01 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/lyon-4eme/Alt12dk2zpmvuvdf.htm,"Lyon 4 Quais De Saône Exclusivité Loft D'exception Avec VUE Situé au dernier étage d'un immeuble classé avec ascenseur privatif, ce loft ..."
Lyon,Maison,Vente Maison à vendre Lyon 8e Arrondissement (69008) 4 pièces 68 m²,299000,4397.058823529412,68.0,Pro,2026-01-31 21:30:00,https://www.seloger.com/259710457/detail.htm,"Lyon 8ème - Maison rénovée avec extérieurs, stationnement et cave - Fanny DEMARIA et l'agence Corneille Saint-Marc transactions ont le plaisir de ..."
