Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Marseille,Appartement,Vente Appartement à vendre Marseille 10e Arrondissement (13010) 1 pièces,245000,,,Particulier,2026-02-07 17:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141042253,"“Visites réservées aux acheteurs sérieux. Afin d'étudier votre demande, merci de préciser en deux mots votre situation bancaire. Professionnels ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 11e Arrondissement (13011) 3 pièces 59 m²,149000,2525.423728813559,59.0,Pro,2026-02-07 17:30:00,https://www.seloger.com/260388621/detail.htm,"Marseille - 13011 - La Grognarde - Type 3 - 59,66 m² loi carrez 1894 - L'immobilier vous propose à la vente : Situé dans le secteur de La ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 8e Arrondissement (13008) 3 pièces 70 m²,348000,4971.428571428572,70.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140989255,"📍 Localisation : Marseille 8e, quartier Lapin blanc/Bonneveine 📐 Surface : 70 m² 🛏 Chambres : 2 🛋 Pièce de vie : Salon lumineux avec ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 4e Arrondissement (13004) 1 pièces 20 m²,69000,3450.0,20.0,Pro,2026-02-07 16:30:00,https://fr.foncia.com/achat/marseille-13004/appartement/00761669.htm,"Dans un quartier d'accessibilité forte grâce aux transports en commun très proches, une vie de quartier diversifiée avec les écoles, les ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 11e Arrondissement (13011) 3 pièces 100 m²,260000,2600.0,100.0,Particulier,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140870436,"Descriptif A visiter sans tarder, dans une copropriété privée et sécurisée. Appartement de 100 m² disposant d'une pièce de vie de 44 m² ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 7e Arrondissement (13007) 2 pièces 33 m²,235000,7121.212121212121,33.0,Particulier,2026-02-07 13:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140846834,13007 - Particulier vend joli T2 de 33 m² entièrement meublé et équipé aucun travaux à prévoir (vendu entièrement meublé). L'appartement se ...
Marseille,Appartement,Vente Appartement à vendre Marseille 15e Arrondissement (13015) 2 pièces 41 m²,165000,4024.390243902439,41.0,Particulier,2026-02-07 12:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140801192,"!!!!! AGENCE S'ABSTENIR !!!!!! Dans une copropriété sécurisée ""Residence le Clos des Pins"" avec portail extérieur , parking devant la ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 3e Arrondissement (13003) 3 pièces 52 m²,127000,2442.3076923076924,52.0,Pro,2026-02-07 10:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140751206,Les docks libres (Marseille 13003)Un appartement de type 3 de 52M2 en étage élevé et à la vue [URL masquée pour votre sécurité] se compose ...
Marseille,Appartement,Vente Appartement à vendre Marseille 9e Arrondissement (13009) 2 pièces 43 m²,250000,5813.953488372093,43.0,Pro,2026-02-07 09:30:00,https://www.properstar.fr/listing/113735503,"REF 101159 - Découvrez cet appartement T2 de 42 m², pensé pour offrir un cadre de vie agréable et fonctionnel. La pièce de vie s'ouvre sur un ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 3e Arrondissement (13003) 3 pièces 52 m²,127000,2442.3076923076924,52.0,Pro,2026-02-07 07:30:00,https://www.seloger.com/260359969/detail.htm,"Les docks libres (Marseille 13003)Un appartement de type 3 de 52M2 en étage élevé et à la vue dégagée.il se compose d'une entrée, de deux ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 3e Arrondissement (13003) 3 pièces 53 m²,165000,3113.2075471698117,53.0,Pro,2026-02-07 07:30:00,https://www.seloger.com/260359971/detail.htm,"Les Docks Libres Au dernier étage d'un immeuble récent un appartement de type 3 d'environ 52 m2 avec une grande entrée, une salle d'eau, deux ..."
Marseille,Appartement,Vente Appartement à vendre Marseille 4e Arrondissement (13004) 2 pièces,160000,,,Pro,2026-02-07 04:30:00,https://www.bienici.com/annonce/hektor-antaresmarseille-680,"T2, de 45,42m2 au 2ème étage avec ascenseur d'un immeble des années 60, composé d'un hall d'entrée, séjour, cuisine, une chambre, salle de bain ..."
