Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 72 m²,260000,3611.1111111111113,72.0,Particulier,2026-02-07 19:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141230602,"🏡 Appartement traversant 72 m² - Sans frais d'agence - Montpellier À vendre bel appartement traversant de 70 m², situé 1 rue des Poiriers à ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 44 m²,132000,3000.0,44.0,Particulier,2026-02-07 17:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141191602,"T2 traversant , entièrement rénové avec isolation intérieure. 1 chambre de 12 m2 avec penderie et porte- fenêtre ouvrant sur le balcon. Cuisine ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 43 m²,176000,4093.0232558139537,43.0,Pro,2026-02-07 17:30:00,https://www.seloger.com/260405179/detail.htm,"VENTE APPARTEMENT T2 43 m² - MONTPELLIER - HOPITAUX FACULTES - 34090 À proximité immédiate des commerces, des transports en commun et des axes ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 44 m²,245000,5568.181818181818,44.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140309141,"T2 récent 47,65 m² avec grande terrasse + parking sécurisé - Montpellier À vendre appartement T2 de 47,65 m² loi Carrez, situé au 7e étage ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 3 pièces 65 m²,210000,3230.769230769231,65.0,Particulier,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141101508,"VENDS TRÈS BEL APPARTEMENT 3éme étage avec ascenseur, CLIMATISE AVEC CAVE ET PARKING DANS RÉSIDENCE SECURISEE. Pompe à chaleur 5 ans, volets ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 1 pièces 26 m²,95000,3653.846153846154,26.0,Pro,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141052016,- APPELS TÉLÉPHONIQUES ET VISITES TOUS LES JOURS AINSI QUE LE SAMEDI DIMANCHE ET JOURS FÉRIÉS (9h-21h)Très joli STUDIO - Plein CENTRE VILLE COURS ...
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 3 pièces 67 m²,240000,3582.089552238806,67.0,Pro,2026-02-07 14:30:00,https://immobilier-castelnau-le-lez.nestenn.com/a-vendre-appartement-t3-de-67-ma2-avec-terrasse-de-14-ma2-et-garage-a-montpellier-proche-hopitaux-faculta-s-ref-39419599,"Exclusivité Nestenn Castelnau Le Lez ! A Montpellier, proche Hôpitaux Facultés et à moins de 10 minutes à pied du tram et e toutes commodités, ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 77 m²,290000,3766.2337662337663,77.0,Particulier,2026-02-07 14:30:00,https://www.topannonces.fr/vente-maison/montpellier-34070/vente-maison-4-pieces-77m2/1288427226/,"À Tigery, dans le quartier recherché de la mairie, découvrez cet appartement esprit MAISON, situé dans une petite copropriété de seulement 4 ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 79 m²,305000,3860.759493670886,79.0,Particulier,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141016158,"Au coeur du quartier Hôpitaux-Facultés, au Nord de Montpellier, proche de toutes commodités (supermarchés, tramway, écoles...), un appartement ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 3 pièces 56 m²,195000,3482.1428571428573,56.0,Pro,2026-02-07 11:30:00,https://www.seloger.com/260380927/detail.htm,iad France - Gregory Levy vous propose: #66d ...
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 3 pièces,183000,,,Particulier,2026-02-07 11:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140903389,T3 lumineux traversant au 2eme étage sur 2 climatisation réversible fenêtres PVC dans une résidence sécurisée avec jadin collectif composteur et ...
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 58 m²,240000,4137.931034482759,58.0,Pro,2026-02-07 09:30:00,https://fr.foncia.com/achat/montpellier-34/appartement/00686096.htm,"Rare, quartier Méditerranée - Appartement de type F2 de 58 m2, traversant au 3ème étage avec ascenseur dans une copropriété bien entretenue. Il ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 5 pièces 128 m²,720000,5625.0,128.0,Pro,2026-02-07 08:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140766747,"Proche commerces, TRAMS,TRAMBUS, médiathèque, Piscine Olympique, Polygone, professionnels de santé ... En étage avec ascenseur de la résidence la ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 51 m²,133000,2607.843137254902,51.0,Pro,2026-02-07 07:30:00,https://fr.foncia.com/achat/montpellier-34/appartement/00766789.htm,"Montpellier quartier Celleneuve : **Appartement T2 de 51 m² avec terrasse, stationnement et cave - Investissement locatif** Situé au **2e étage ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 70 m²,170000,2428.5714285714284,70.0,Particulier,2026-02-07 03:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140705367,"Je vends cet appartement de type F4 de 70 m² situé au 4ème étage d'un immeuble de 4 étages à Montpellier. Construit en 1970, cet appartement a ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 1 pièces 21 m²,80000,3809.5238095238096,21.0,Pro,2026-02-07 01:30:00,https://www.seloger.com/260352023/detail.htm,"Dans un quartier en pleine rénovation, à proximité du tramway et du centre-ville, découvrez ce t1avec mezzanine et son petit extérieur sous les ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 36 m²,120000,3333.333333333333,36.0,Pro,2026-02-07 00:30:00,https://www.seloger.com/260352021/detail.htm,"Situé dans un quartier en pleine rénovation, à proximité immédiate du tramway et du centre-ville, ce T2 se trouve au calme absolu, entièrement ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 76 m²,146600,1928.9473684210527,76.0,Pro,2026-02-06 23:30:00,https://www.century21.fr/trouver_logement/detail/15296770128/,"C à Vendre A Montpellier Beaux Arts appartement de 76m² à rénover entièrement, idéal pour créer le logement qui vous ressemble. Situé au ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 4 pièces 69 m²,313000,4536.231884057971,69.0,Pro,2026-02-06 21:30:00,https://bskimmobilier.com/bien/montpellier/appartement-de-69-m/320117,*** APPARTEMENT T4 DE 69 M² - DERNIER ÉTAGE AVEC PARKINGS - MONTPELLIER ( PAS DU LOUP ) Appartement T4 de 69 m² - Dernier étage avec parkings - ...
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 1 pièces 33 m²,125000,3787.878787878788,33.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140686487,"Situé dans le centre historique ''Ecusson'' de Montpellier. Proche des commerces, des facultés, des lignes de tram. Secteur place de la Chapelle ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 1 pièces 19 m²,99000,5210.526315789473,19.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140649604,"A vendre studio très lumineux en étage élevé d'une résidence avec ascenseur, - Citya vous propose à la vente ce beau studio de 20m² en étage ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 130 m²,185000,1423.076923076923,130.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140638688,"A vendre, quartier place Carnot à Montpellier, un local d'environ 130m2 comprenant une partie commerce et une partie habitation plus deux mezzanines ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 2 pièces 38 m²,183000,4815.789473684211,38.0,Pro,2026-02-06 21:30:00,https://www.orpi.com/annonce-vente-appartement-t2-montpellier-34000-6daadead-6960-46bc-9142-484ee862459b,"Appartement T2 avec grande terrasse. MONTPELLIER - Jardins de la Lironde - Bel appartement T2 de 38,23 m2 habitables, composé de : entrée, séjour ..."
Montpellier,Appartement,Vente Appartement à vendre Montpellier (34000) 1 pièces 21 m²,107000,5095.238095238095,21.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/ag340758-512409512,"Idéal investisseurs, studio de 22m² environ situé au 1er étage avec ascenseur, cuisine équipée, belles prestations, exposition Sud. Cave et ..."
