Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 2 pièces 47 m²,188000,4000.0,47.0,Particulier,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141052214,"Au rez de chaussée : une entrée avec penderie, une cuisine équipée ouverte sur la pièce à vivre, des sanitaires. A l'étage : une chambre, une ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 3 pièces 58 m²,280000,4827.586206896552,58.0,Particulier,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141003224,"Nous vendons une maison T3 récente de 58 m², livrée le 10 janvier 2023, située à proximité du quartier des Arènes à Montpellier, dans un ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 6 pièces 202 m²,1560000,7722.772277227723,202.0,Pro,2026-02-07 01:30:00,https://luxuryestate.com/fr/p132236120-villa-en-vente-montpellier,"Dans l'un des quartiers les plus prisés de Montpellier, au coeur de Boutonnet, découvrez cette superbe maison de charme entièrement rénovée de ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 85 m²,279000,3282.3529411764707,85.0,Pro,2026-02-06 21:30:00,https://www.orpi.com/annonce-vente-maison-t4-montpellier-34070-883ca4ac-1313-4b28-b8c7-e576b9661b82,"Maison À Vendre T4 avec jardin et garage. Votre agence ORPI est ravie de vous présenter en exclusivité cette charmante maison mitoyenne à vendre, ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 6 pièces 180 m²,790000,4388.888888888889,180.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/hektor-acteursudboutonnet-7272,"Rare! Très belle maison de ville rénovée 180m2 habitables environ, séjour double avec plafond moulurés, parquet, cuisine équipée, 3 chambres, ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 125 m²,695000,5560.0,125.0,Pro,2026-02-06 21:30:00,https://www.maisonsetappartements.fr/ads/4172860,"Le cabinet ARGENCE ARGENCE vous présente en CO-EXCLUSIVITE cette Jolie villa rénovée de plain-pied d'environ 125 m², édifiée sur une belle ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 95 m²,360000,3789.4736842105262,95.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260292355/detail.htm,"MAISON 4 PIECES PISCINE JARDINS GARAGE ET PANNEAUX SOLAIRES MONTPELLIER LES BOUISSES Cette maison 4 pièces de 95,24 m² se situe à Montpellier ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 138 m²,1175000,8514.492753623188,138.0,Pro,2026-02-06 21:30:00,https://www.ouestfrance-immo.com/immobilier/vente/maison/montpellier-34-34172/19720422.htm,"iad France - Penelope Stoker vous propose : Maison contemporaine - Quartier Aiguelongue, Montpellier Dans l'un des quartiers les plus recherchés de ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 6 pièces 154 m²,695000,4512.987012987013,154.0,Pro,2026-02-05 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/montpellier/An0yc0bpfy62gu6m.htm,"Montpellier Cité Mion, Casanova Immobilier vous propose en exclusivité cette maison de charme des années 50, située dans un environnement calme et ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 111 m²,436900,3936.036036036036,111.0,Pro,2026-02-05 21:30:00,https://www.seloger.com/260226797/detail.htm,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 20191 Dans le ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 131 m²,750000,5725.1908396946565,131.0,Pro,2026-02-05 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-41327/259393629/,"Villa d'architecte contemporaine située dans le quartier sud-ouest de Montpellier, à proximité immédiate des cliniques Saint-Roch et ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 10 pièces 257 m²,1930000,7509.727626459144,257.0,Pro,2026-02-05 21:30:00,https://www.adaptimmobilier.com/fr/detail.htm?cle=3401415284,"Exclusivité - Dans l'une des plus belles rues de Montpellier, découvrez cette exceptionnelle maison de maître de 257 m² habitables, au style ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 158 m²,670000,4240.506329113924,158.0,Pro,2026-02-04 21:30:00,https://www.orpi.com/annonce-vente-maison-t4-montpellier-34090-05a24de6-1549-494b-bc2e-671a5502f4a6,"MAISON CONTEMPORAINE A MONTPELLIER. ORPI vous présente ce bien D'EXCEPTION à MONTPELLIER situé dans un quartier recherché, proche du lycée ..."
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 3 pièces 56 m²,239000,4267.857142857143,56.0,Pro,2026-02-04 21:30:00,https://www.bienici.com/annonce/hektor-AGENCEDUCOURREAU-34000-11590,MONTPELLIER - BOULEVARD D'ORIENT L'agence du Courreau vous propose cette maison F3 de 55.50 m2 avec jardin et deux places de stationnement. Elle se ...
Montpellier,Maison,Vente Maison à vendre Montpellier (34000) 4 pièces 143 m²,549000,3839.1608391608393,143.0,Pro,2026-02-04 21:30:00,https://www.bienici.com/annonce/hektor-AGENCEDUCOURREAU-34000-11486,"Montpellier La Martelle Maison F4 de 142,61 m2 avec jardin et stationnements L'Agence du Courreau vous propose cette charmante maison F4 ..."
